"Time (EpSec)","Lat (deg)","Lon (deg)","Alt (km)","Azimuth (deg)","Elevation (deg)","Velocity (km/sec)"
1461.271,-14.041,-75.746,3.048000,340.692,0.000,0.180056
1461.465,-14.041,-75.746,3.048000,338.692,0.000,0.180056
1461.659,-14.041,-75.746,3.048000,336.692,0.000,0.180056
1461.853,-14.040,-75.746,3.048000,334.692,0.000,0.180056
1462.047,-14.040,-75.747,3.048000,332.692,-0.000,0.180056
1462.240,-14.040,-75.747,3.048000,330.692,0.000,0.180056
1462.434,-14.039,-75.747,3.048000,328.692,-0.000,0.180056
1462.628,-14.039,-75.747,3.048000,326.692,0.000,0.180056
1462.648,-14.039,-75.747,3.048000,326.486,0.000,0.180056
1806.351,-13.573,-76.063,3.048000,326.561,0.000,0.180056
2150.055,-13.106,-76.377,3.048000,326.633,-0.000,0.180056
2493.760,-12.639,-76.690,3.048000,326.702,-0.000,0.180056
2837.478,-12.171,-77.002,3.048000,326.769,0.000,0.180056

